Project,Core Area,Repository,URL-Link,Accountable Engineering Manager,Exit Plan,Exit Date,Exit Plan State,Post 3/31 Exit Justification,ID
"Universal Conversation Engine","Core Insurance Platforms","UCEAPI","https://dev.azure.com/geico/Universal%20Conversation%20Engine/_git/UCEAPI","Grabarczyk, John",,,,,"1727"
"Universal Conversation Engine","Core Insurance Platforms","UCEDataModel-Abstraction","https://dev.azure.com/geico/Universal%20Conversation%20Engine/_git/UCEDataModel-Abstraction","Grabarczyk, John","Plan to Sunset","1/1/2025","Not Started",,"1728"
"Universal Conversation Engine","Core Insurance Platforms","UceDesignerCompiler","https://dev.azure.com/geico/Universal%20Conversation%20Engine/_git/UceDesignerCompiler","Grabarczyk, John",,,,,"1729"
"Universal Conversation Engine","Core Insurance Platforms","UCEInteractionModel","https://dev.azure.com/geico/Universal%20Conversation%20Engine/_git/UCEInteractionModel","Grabarczyk, John","Plan to Sunset","2/1/2025","Not Started",,"1730"
"Umbrella","Digital Engineering","UI","https://dev.azure.com/geico/Umbrella/_git/UI","Veerappan, Bala","Immediately Archive","2/9/2024","Completed","<div class=""ExternalClass8E64B2C3D8E547EBB7F7178E190D7057""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><br></div></div>","1731"
"Umbrella","Digital Engineering","UI - WebApp","https://dev.azure.com/geico/Umbrella/_git/UI%20-%20WebApp","Veerappan, Bala","Plan to refactor into .NET Open Source","9/12/2024","In Progress","<div class=""ExternalClass8BAE8850BD7248B7822EA6F36318FA7C""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">Umbrella will be sunset with the sunset of Duck Creek, potentially in 2026 but we want to upgrade to .Net 8 to move away from .Net framework.&%23160; Resources are currently tied up with other priorities.</span><br></div></div>","1732"
"IBU.Multiline","Core Insurance Platforms","UI.BOFWUI","https://dev.azure.com/geico/IBU.Multiline/_git/UI.BOFWUI",,,,"Not Started",,"1733"
"IBU.Multiline","Core Insurance Platforms","UI.CAM","https://dev.azure.com/geico/IBU.Multiline/_git/UI.CAM",,,,"Not Started",,"1734"
"IBU.Multiline","Core Insurance Platforms","UI.COMWUI","https://dev.azure.com/geico/IBU.Multiline/_git/UI.COMWUI",,,,"Not Started",,"1735"
"IES Integration","Core Insurance Platforms","UI.COMWUI","https://dev.azure.com/geico/IES%20Integration/_git/UI.COMWUI",,,,"Not Started",,"1736"
"IBU.Multiline","Core Insurance Platforms","UI.PRPWUI","https://dev.azure.com/geico/IBU.Multiline/_git/UI.PRPWUI",,,,"Not Started",,"1737"
"IBU.Multiline","Core Insurance Platforms","UI.PRSWUI","https://dev.azure.com/geico/IBU.Multiline/_git/UI.PRSWUI",,,,"Not Started",,"1738"
"IBU.Multiline","Core Insurance Platforms","UI.ReportingAnalyzer","https://dev.azure.com/geico/IBU.Multiline/_git/UI.ReportingAnalyzer","Williams, Ahmad","Plan to refactor into .NET Open Source","12/31/2024","Not Started",,"1739"
"IBU.Multiline","Core Insurance Platforms","UI.TSS","https://dev.azure.com/geico/IBU.Multiline/_git/UI.TSS",,,,"Not Started",,"1740"
"Commercial Legacy","Digital Engineering","UI-AdminTool","https://dev.azure.com/geico/Commercial%20Legacy/_git/UI-AdminTool","Clower, Amy","Plan to Sunset","3/31/2025","Not Started",,"1741"
"Commercial Legacy","Digital Engineering","UI-CarrierFeedReportTool","https://dev.azure.com/geico/Commercial%20Legacy/_git/UI-CarrierFeedReportTool","Clower, Amy","Immediately Archive","2/7/2024","Completed",,"1742"
"Commercial Legacy","Digital Engineering","UI-Dashboard","https://dev.azure.com/geico/Commercial%20Legacy/_git/UI-Dashboard","Clower, Amy","Plan to Sunset","3/31/2025","Not Started",,"1743"
"Commercial Legacy","Digital Engineering","UI-Sales","https://dev.azure.com/geico/Commercial%20Legacy/_git/UI-Sales","Clower, Amy","Plan to Sunset","3/31/2025","Not Started",,"1744"
"Commercial Legacy","Digital Engineering","UI-Service","https://dev.azure.com/geico/Commercial%20Legacy/_git/UI-Service","Clower, Amy","Plan to Sunset","3/31/2025","Not Started",,"1745"
"MSI CM","Core Insurance Platforms","UMB","https://dev.azure.com/geico/MSI%20CM/_git/UMB",,,,"Not Started",,"1746"
"ASD Conversion","Core Insurance Platforms","UMBC_Common","https://dev.azure.com/geico/ASD%20Conversion/_git/UMBC_Common",,,,"Not Started",,"1747"
"ASD Conversion","Core Insurance Platforms","UMBC_DuckCreekReady","https://dev.azure.com/geico/ASD%20Conversion/_git/UMBC_DuckCreekReady",,,,"Not Started",,"1748"
"ASD Conversion","Core Insurance Platforms","UMBC_PhoenixHistory","https://dev.azure.com/geico/ASD%20Conversion/_git/UMBC_PhoenixHistory",,,,"Not Started",,"1749"
"ASD Conversion","Core Insurance Platforms","UMBC_StagePolicy","https://dev.azure.com/geico/ASD%20Conversion/_git/UMBC_StagePolicy",,,,"Not Started",,"1750"
"ASD Conversion","Core Insurance Platforms","UMBC_Transformation","https://dev.azure.com/geico/ASD%20Conversion/_git/UMBC_Transformation",,,,"Not Started",,"1751"
"ASD Conversion","Core Insurance Platforms","UMBC_Utils","https://dev.azure.com/geico/ASD%20Conversion/_git/UMBC_Utils",,,,"Not Started",,"1752"
"ASD Conversion","Core Insurance Platforms","UMBC_WebUI","https://dev.azure.com/geico/ASD%20Conversion/_git/UMBC_WebUI",,,,"Not Started",,"1753"
"MSI CM","Core Insurance Platforms","Umbrella","https://dev.azure.com/geico/MSI%20CM/_git/Umbrella",,,,"Not Started",,"1754"
"Modernization Testing","Core Insurance Platforms","Umbrella_E2E_Regression","https://dev.azure.com/geico/Modernization%20Testing/_git/Umbrella_E2E_Regression",,,,"Not Started",,"1755"
"Modernization Testing","Core Insurance Platforms","Umbrella_E2E_Smoke","https://dev.azure.com/geico/Modernization%20Testing/_git/Umbrella_E2E_Smoke",,,,"Not Started",,"1756"
"Modernization Testing","Core Insurance Platforms","Umbrella_ExpressUI_Regression","https://dev.azure.com/geico/Modernization%20Testing/_git/Umbrella_ExpressUI_Regression",,,,"Not Started",,"1757"
"Enterprise Document Services","Enablement Platforms","UmbrellaProcessor","https://dev.azure.com/geico/Enterprise%20Document%20Services/_git/UmbrellaProcessor","Pawar, Prashant","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1758"
"MSI CM","Core Insurance Platforms","UmbrellaRatingServices","https://dev.azure.com/geico/MSI%20CM/_git/UmbrellaRatingServices",,,,"Not Started",,"1759"
"MSI CM","Core Insurance Platforms","UmbrellaUI","https://dev.azure.com/geico/MSI%20CM/_git/UmbrellaUI",,,,"Not Started",,"1760"
"Modernization Testing","Core Insurance Platforms","UmbSalesUIPerfLab","https://dev.azure.com/geico/Modernization%20Testing/_git/UmbSalesUIPerfLab",,,,"Not Started",,"1761"
"Cloud Automation","Infrastructure","UnderConstruction","https://dev.azure.com/geico/Cloud%20Automation/_git/UnderConstruction",,,,"Not Started",,"1762"
"DirectNet Modernization","Core Claims Platforms","Underwriting_DMCCDashboard","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Underwriting_DMCCDashboard",,,,"Not Started",,"1763"
"DirectNet Modernization","Core Claims Platforms","Underwriting_DMCCDashboard_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Underwriting_DMCCDashboard_SmokeTest",,,,"Not Started",,"1764"
"DirectNet Modernization","Core Claims Platforms","UnderWriting_DMCCEListener","https://dev.azure.com/geico/DirectNet%20Modernization/_git/UnderWriting_DMCCEListener",,,,"Not Started",,"1765"
"DirectNet Modernization","Core Claims Platforms","Underwriting_DMCCSSIS","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Underwriting_DMCCSSIS",,,,"Not Started",,"1766"
"DirectNet Modernization","Core Claims Platforms","UnderWriting_I371","https://dev.azure.com/geico/DirectNet%20Modernization/_git/UnderWriting_I371",,,,"Not Started",,"1767"
"DirectNet Modernization","Core Claims Platforms","Underwriting_I371_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Underwriting_I371_SmokeTest",,,,"Not Started",,"1768"
"DirectNet Modernization","Core Claims Platforms","UnderWriting_InspReferral","https://dev.azure.com/geico/DirectNet%20Modernization/_git/UnderWriting_InspReferral",,,,"Not Started",,"1769"
"DirectNet Modernization","Core Claims Platforms","UnderWriting_InspReferral_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/UnderWriting_InspReferral_SmokeTest",,,,"Not Started",,"1770"
"DirectNet Modernization","Core Claims Platforms","UnderWriting_InspSites","https://dev.azure.com/geico/DirectNet%20Modernization/_git/UnderWriting_InspSites",,,,"Not Started",,"1771"
"DirectNet Modernization","Core Claims Platforms","UnderWriting_InspSites_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/UnderWriting_InspSites_SmokeTest",,,,"Not Started",,"1772"
"DirectNet Modernization","Core Claims Platforms","Underwriting_Lienholder","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Underwriting_Lienholder",,,,"Not Started",,"1773"
"DirectNet Modernization","Core Claims Platforms","Underwriting_Lienholder_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Underwriting_Lienholder_SmokeTest",,,,"Not Started",,"1774"
"DirectNet Modernization","Core Claims Platforms","UnderWriting_Military","https://dev.azure.com/geico/DirectNet%20Modernization/_git/UnderWriting_Military",,,,"Not Started",,"1775"
"DirectNet Modernization","Core Claims Platforms","Underwriting_Military_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Underwriting_Military_SmokeTest",,,,"Not Started",,"1776"
"DirectNet Modernization","Core Claims Platforms","Underwriting_NBUS_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Underwriting_NBUS_SmokeTest",,,,"Not Started",,"1777"
"DirectNet Modernization","Core Claims Platforms","UnderWriting_NBusRequest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/UnderWriting_NBusRequest",,,,"Not Started",,"1778"
"DirectNet Modernization","Core Claims Platforms","UnderWriting_OfficeLocations","https://dev.azure.com/geico/DirectNet%20Modernization/_git/UnderWriting_OfficeLocations",,,,"Not Started",,"1779"
"DirectNet Modernization","Core Claims Platforms","Underwriting_OfficeLocations_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Underwriting_OfficeLocations_SmokeTest",,,,"Not Started",,"1780"
"DirectNet Modernization","Core Claims Platforms","UnderWriting_Reason","https://dev.azure.com/geico/DirectNet%20Modernization/_git/UnderWriting_Reason",,,,"Not Started",,"1781"
"DirectNet Modernization","Core Claims Platforms","Underwriting_ReasonCodes_SmokeTest","https://dev.azure.com/geico/DirectNet%20Modernization/_git/Underwriting_ReasonCodes_SmokeTest",,,,"Not Started",,"1782"
"Enterprise Document Services","Enablement Platforms","UnearnedCommissionsProcessor","https://dev.azure.com/geico/Enterprise%20Document%20Services/_git/UnearnedCommissionsProcessor","Pawar, Prashant","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1783"
"BoatUS","Digital Engineering","UnifiedActionLoggingService","https://dev.azure.com/geico/BoatUS/_git/UnifiedActionLoggingService","Masilela, Mbonisi","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1784"
"BoatUS","Digital Engineering","UnifiedAutoRegistrationService","https://dev.azure.com/geico/BoatUS/_git/UnifiedAutoRegistrationService","Masilela, Mbonisi","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1785"
"BoatUS","Digital Engineering","UnifiedCiscoIVRServices","https://dev.azure.com/geico/BoatUS/_git/UnifiedCiscoIVRServices","Masilela, Mbonisi","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass7532A64CDF1245E1BCE0C468B5A3FEED""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><div><table width=""263"" style=""border-collapse&%2358;collapse;width&%2358;197pt;""><colgroup><col width=""263"" style=""width&%2358;197pt;"" /></colgroup><tbody><tr height=""61"" style=""height&%2358;45.75pt;""><td width=""263"" height=""61"" style=""padding-top&%2358;1px;padding-right&%2358;1px;padding-left&%2358;1px;color&%2358;black;font-size&%2358;11pt;font-family&%2358;Calibri, sans-serif;vertical-align&%2358;bottom;border&%2358;none;font-family&%2358;Calibri;width&%2358;197pt;height&%2358;45.75pt;"">There are Telecom resource dependencies and contention before the application can be deployed into production</td></tr></tbody></table></div><br></div></div>","1786"
"BoatUS","Digital Engineering","UnifiedHurricaneService","https://dev.azure.com/geico/BoatUS/_git/UnifiedHurricaneService","Owens, Brian","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1787"
"BoatUS","Digital Engineering","UnifiedNoticesService","https://dev.azure.com/geico/BoatUS/_git/UnifiedNoticesService","Owens, Brian","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1788"
"Automation","Infrastructure","UnifiedNotificationService","https://dev.azure.com/geico/Automation/_git/UnifiedNotificationService","Chauhan, Vipul","Immediately Archive","2/6/2024","Completed",,"1789"
"BoatUS","Digital Engineering","UnifiedNotificationService","https://dev.azure.com/geico/BoatUS/_git/UnifiedNotificationService","Owens, Brian","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1790"
"BoatUS","Digital Engineering","UnifiedPolicyService","https://dev.azure.com/geico/BoatUS/_git/UnifiedPolicyService","Masilela, Mbonisi","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1791"
"BoatUS","Digital Engineering","UnifiedSelfServiceAdminPortal","https://dev.azure.com/geico/BoatUS/_git/UnifiedSelfServiceAdminPortal","Owens, Brian","Plan to refactor into .NET Open Source","4/18/2024","Not Started","<div class=""ExternalClass13AE36E8A28C48429A9E14A831209B46""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Resource Contention - dependencies on other applications being refactored</div></div>","1792"
"BoatUS","Digital Engineering","UnifiedSelfServiceApi","https://dev.azure.com/geico/BoatUS/_git/UnifiedSelfServiceApi","Owens, Brian","Plan to refactor into .NET Open Source","4/11/2024","Not Started","<div class=""ExternalClass1C84DFEE1E954E9CA867A05E5302F491""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Resource contention and dependencies on other applications being refactored.</div></div>","1793"
"BoatUS","Digital Engineering","UnifiedUserAccountImportUtility","https://dev.azure.com/geico/BoatUS/_git/UnifiedUserAccountImportUtility","Masilela, Mbonisi","Plan to Sunset","3/31/2024","Not Started",,"1794"
"BoatUS","Digital Engineering","UnifiedUserAccountService","https://dev.azure.com/geico/BoatUS/_git/UnifiedUserAccountService","Masilela, Mbonisi","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1795"
"BoatUS","Digital Engineering","UnifiedUserWeatherService","https://dev.azure.com/geico/BoatUS/_git/UnifiedUserWeatherService","Owens, Brian","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1796"
"BoatUS","Digital Engineering","UnifiedWorkDeskService","https://dev.azure.com/geico/BoatUS/_git/UnifiedWorkDeskService","Masilela, Mbonisi","Plan to Sunset","3/31/2024","Not Started",,"1797"
"IT Sales Interfaces","Core Insurance Platforms","UniversalRating","https://dev.azure.com/geico/IT%20Sales%20Interfaces/_git/UniversalRating","Hoffman, Justin","Immediately Archive","1/23/2024","Completed",,"1798"
"Corporate Support Systems","Enterprise Engineering","UPCSFileTool","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/UPCSFileTool","Duong, Till","Plan to refactor into .NET Open Source","3/31/2024","In Progress",,"1799"
"Enterprise Document Services","Enablement Platforms","UsageAndMileageAutomation","https://dev.azure.com/geico/Enterprise%20Document%20Services/_git/UsageAndMileageAutomation","Pawar, Prashant","Immediately Archive","2/12/2024","Completed",,"1800"
"BoatUS","Digital Engineering","USCGCourseImportService","https://dev.azure.com/geico/BoatUS/_git/USCGCourseImportService","Masilela, Mbonisi","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1801"
"BoatUS","Digital Engineering","UserActivityLoggingV1","https://dev.azure.com/geico/BoatUS/_git/UserActivityLoggingV1","Masilela, Mbonisi","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1802"
"Imaging","Enablement Platforms","Utilities","https://dev.azure.com/geico/Imaging/_git/Utilities","Patel, Kamlesh","Plan to rewrite on non .Net Open Source","6/30/2025","Not Started","<div class=""ExternalClass810FFB3CD9B3446FB290DC1BEE75DC5C""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">.NET Frame is needed becasue of dependency with Filenet P8 SaaS<br></div></div>","1803"
"Digital Experience","Digital Engineering","utils","https://dev.azure.com/geico/Digital%20Experience/_git/utils","Savoye, Charlie","Immediately Archive","3/15/2024","Not Started",,"1804"
"Imaging","Enablement Platforms","UWReport","https://dev.azure.com/geico/Imaging/_git/UWReport","Patel, Kamlesh","Immediately Archive","2/14/2024","Not Started","<div class=""ExternalClassBBC54BEE83554C56A06E8710073471B9""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">This is an old application that was replaced by P8ReportsGenerator. It can be deleted from git.</div></div>","1805"
"DSS","Data Engineering","UWSupport","https://dev.azure.com/geico/DSS/_git/UWSupport","Legesse, Bethlehem","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClass21687DACE20A4FFDB1D41C64618A8E63""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">Given current GDH and Telematics priorities data teams will not have the bandwidth to migrate these apps by 3/31.&%23160;</span><br></div></div>","1806"
"DSS","Data Engineering","Vault3Net","https://dev.azure.com/geico/DSS/_git/Vault3Net","Merritts, Ross","Plan to refactor into .NET Open Source","6/30/2024","Not Started","<div class=""ExternalClassF338FE096D2746319BC72A9BDACBDD35""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">Given current GDH and PACE priorities data teams will not have the bandwidth to migrate these apps by 3/31.&%23160;</span><br></div></div>","1807"
"Underwriting Systems","Core Insurance Platforms","VHS-VehicleHistory.SQLQuery","https://dev.azure.com/geico/Underwriting%20Systems/_git/VHS-VehicleHistory.SQLQuery","Lakshmanan, Aravind","Immediately Archive","2/9/2024","Completed",,"1808"
"Underwriting Systems","Core Insurance Platforms","VHS-VehicleHistoryApi","https://dev.azure.com/geico/Underwriting%20Systems/_git/VHS-VehicleHistoryApi","Lakshmanan, Aravind","Immediately Archive","2/9/2024","Completed",,"1809"
"Underwriting Systems","Core Insurance Platforms","VHS-VehicleHistoryCore","https://dev.azure.com/geico/Underwriting%20Systems/_git/VHS-VehicleHistoryCore","Lakshmanan, Aravind","Immediately Archive","2/9/2024","Completed",,"1810"
"Underwriting Systems","Core Insurance Platforms","VHS-VehicleHistoryDacpac","https://dev.azure.com/geico/Underwriting%20Systems/_git/VHS-VehicleHistoryDacpac","Lakshmanan, Aravind","Immediately Archive","2/9/2024","Completed",,"1811"
"Underwriting Systems","Core Insurance Platforms","VHS-VehicleHistorySSIS","https://dev.azure.com/geico/Underwriting%20Systems/_git/VHS-VehicleHistorySSIS","Lakshmanan, Aravind","Plan to Sunset","7/31/2024","Not Started","<div class=""ExternalClass26C7ED5534614274BDF3C2FB5033CD7D""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">We have a on-going plan avoid using this SSIS package and sunset this repo.</div></div>","1812"
"IT Sales","Core Insurance Platforms","VINDL","https://dev.azure.com/geico/IT%20Sales/_git/VINDL","Ghaus, Syed",,,"Not Started",,"1813"
"IT Sales","Core Insurance Platforms","VINDLProxy","https://dev.azure.com/geico/IT%20Sales/_git/VINDLProxy","Ghaus, Syed",,,"Not Started",,"1814"
"Underwriting Systems","Core Insurance Platforms","VIN-PropSymCommon","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-PropSymCommon","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started",,"1815"
"Underwriting Systems","Core Insurance Platforms","VIN-PropSymCore","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-PropSymCore","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started",,"1816"
"Underwriting Systems","Core Insurance Platforms","VIN-PropSymCoreDacPac","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-PropSymCoreDacPac","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started",,"1817"
"Underwriting Systems","Core Insurance Platforms","Vin-PropSymDatabase-SqlQuery","https://dev.azure.com/geico/Underwriting%20Systems/_git/Vin-PropSymDatabase-SqlQuery","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started",,"1818"
"Underwriting Systems","Core Insurance Platforms","VIN-PropSymProcessor","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-PropSymProcessor","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started",,"1819"
"Underwriting Systems","Core Insurance Platforms","VIN-PropSymScheduler","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-PropSymScheduler","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started",,"1820"
"Underwriting Systems","Core Insurance Platforms","VIN-SymApi","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-SymApi","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started",,"1821"
"Underwriting Systems","Core Insurance Platforms","VIN-SymApi.1.0","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-SymApi.1.0","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started",,"1822"
"Underwriting Systems","Core Insurance Platforms","VIN-SymOpenScoringApi","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-SymOpenScoringApi","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started",,"1823"
"Underwriting Systems","Core Insurance Platforms","VIN-SymOpenScoringApi-AKS","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-SymOpenScoringApi-AKS","Patel, Hiteshkumar","Plan to refactor into .NET Open Source","5/31/2024","Not Started","<div class=""ExternalClass602CFDC3C2BE40CF8EFFE724BD6E23AC""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">Can't complete by 3/30 due to other priorities.</div></div>","1824"
"Underwriting Systems","Core Insurance Platforms","VIN-SYMPackages","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-SYMPackages","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started","<div class=""ExternalClassC4EC2A51F7784BEBB65EB79CA09C7029""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><br></div></div>","1825"
"Underwriting Systems","Core Insurance Platforms","VIN-SymProprietarySymbolPackages","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-SymProprietarySymbolPackages","Patel, Hiteshkumar","Plan to refactor into .NET Open Source","5/31/2024","Not Started","<div class=""ExternalClass2693E3DABF8945E981AD55E77AF8A5D2""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);""><span style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;background-color&%2358;rgb(255, 255, 255);display&%2358;inline !important;"">Can't complete by 3/30 due to other priorities.</span><br></div></div>","1826"
"Underwriting Systems","Core Insurance Platforms","VIN-SYMReports","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-SYMReports","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started",,"1827"
"Underwriting Systems","Core Insurance Platforms","VIN-SymUi","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-SymUi","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started",,"1828"
"Underwriting Systems","Core Insurance Platforms","VIN-SymUi.1.0","https://dev.azure.com/geico/Underwriting%20Systems/_git/VIN-SymUi.1.0","Patel, Hiteshkumar","Immediately Archive","2/12/2024","Not Started",,"1829"
"Universal Conversation Engine","Core Insurance Platforms","VoltagePieDecryptor","https://dev.azure.com/geico/Universal%20Conversation%20Engine/_git/VoltagePieDecryptor","Grabarczyk, John","Plan to Sunset","1/1/2025","Not Started",,"1830"
"Modernization Testing","Core Insurance Platforms","VSSReset","https://dev.azure.com/geico/Modernization%20Testing/_git/VSSReset",,,,"Not Started",,"1831"
"Imaging","Enablement Platforms","W9FromMFToSQL","https://dev.azure.com/geico/Imaging/_git/W9FromMFToSQL","Patel, Kamlesh","Plan to refactor into .NET Open Source","3/12/2024","Not Started",,"1832"
"Cloud Automation","Infrastructure","WallOfStability","https://dev.azure.com/geico/Cloud%20Automation/_git/WallOfStability","Ennaciri, Youssef","Immediately Archive","2/12/2024","Not Started",,"1833"
"Cloud Automation","Infrastructure","WallOfStability.Database","https://dev.azure.com/geico/Cloud%20Automation/_git/WallOfStability.Database","Ennaciri, Youssef","Immediately Archive","2/12/2024","Not Started",,"1834"
"BoatUS","Digital Engineering","WASalesTax","https://dev.azure.com/geico/BoatUS/_git/WASalesTax","Owens, Brian","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1835"
"Corporate Support Systems","Enterprise Engineering","WCC-DP-Beta-API","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/WCC-DP-Beta-API","Dees, Nathan","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1836"
"Corporate Support Systems","Enterprise Engineering","WCC-DP-Data","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/WCC-DP-Data","Dees, Nathan","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1837"
"Corporate Support Systems","Enterprise Engineering","WCC-DP-Restruct-API","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/WCC-DP-Restruct-API","Dees, Nathan","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1838"
"Corporate Support Systems","Enterprise Engineering","WCC-DP-Restruct-UI","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/WCC-DP-Restruct-UI","Dees, Nathan","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1839"
"Corporate Support Systems","Enterprise Engineering","WCC-DP-UI","https://dev.azure.com/geico/Corporate%20Support%20Systems/_git/WCC-DP-UI","Dees, Nathan","Plan to refactor into .NET Open Source","3/31/2024","Not Started",,"1840"
"ITFoundation","Core Insurance Platforms","Web","https://dev.azure.com/geico/ITFoundation/_git/Web","Hoffman, Justin","Plan to refactor into .NET Open Source","6/14/2024","Not Started","<div class=""ExternalClassB2DB7FD4DE764431B11BDCCE1C1D477D""><div style=""font-family&%2358;Calibri, Arial, Helvetica, sans-serif;font-size&%2358;11pt;color&%2358;rgb(0, 0, 0);"">resources currently working on PACE-GTR</div></div>","1841"
"CSS Custom Apps","Enterprise Engineering","WebApp - 360 Survey","https://dev.azure.com/geico/CSS%20Custom%20Apps/_git/WebApp%20-%20360%20Survey","Dees, Nathan","Immediately Archive","3/1/2024","Completed",,"1842"
